"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"4032",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4033",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4034",2111,"Vika","Oleg","question",5,"female",4,"male"
"4035",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4036",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4037",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4038",2111,"Ashley","Vika","question",1,"female",5,"female"
"4039",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4040",2111,"Ashley","Will","backchannel",1,"female",2,"male"
"4041",2111,"Will","Saleh","statement",2,"male",3,"male"
"4042",2111,"Saleh","Ashley","statement",3,"male",1,"female"
"4043",2111,"Ashley","Saleh","statement",1,"female",3,"male"
"4044",2111,"Saleh","Will","statement",3,"male",2,"male"
"4045",2111,"Will","Oleg","statement",2,"male",4,"male"
"4046",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4047",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4048",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4049",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4050",2111,"Vika","Oleg","question",5,"female",4,"male"
"4051",2111,"Oleg","Vika","question",4,"male",5,"female"
"4052",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4053",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4054",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4055",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4056",2111,"Ashley","Vika","floor-grabber",1,"female",5,"female"
"4057",2111,"Vika","Oleg","question",5,"female",4,"male"
"4058",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4059",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4060",2111,"Oleg","Saleh","statement",4,"male",3,"male"
"4061",2111,"Saleh","Vika","statement",3,"male",5,"female"
"4062",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4063",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4064",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4065",2111,"Oleg","Saleh","statement",4,"male",3,"male"
"4066",2111,"Saleh","Vika","question",3,"male",5,"female"
"4067",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4068",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4069",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4070",2111,"Oleg","Vika","question",4,"male",5,"female"
"4071",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4072",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4073",2111,"Ashley","Oleg","question",1,"female",4,"male"
"4074",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4075",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4076",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4077",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4078",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4079",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4080",2111,"Oleg","Saleh","statement",4,"male",3,"male"
"4081",2111,"Saleh","Oleg","statement",3,"male",4,"male"
"4082",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4083",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4084",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4085",2111,"Vika","Vika","question",5,"female",5,"female"
"4086",2111,"Vika","Oleg","question",5,"female",4,"male"
"4087",2111,"Oleg","Vika","floor-grabber",4,"male",5,"female"
"4088",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4089",2111,"Oleg","Oleg","statement",4,"male",4,"male"
"4090",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4091",2111,"Ashley","Will","statement",1,"female",2,"male"
"4092",2111,"Will","Vika","statement",2,"male",5,"female"
"4093",2111,"Vika","Oleg","question",5,"female",4,"male"
"4094",2111,"Oleg","Ashley","disruption",4,"male",1,"female"
"4095",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4096",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4097",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4098",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4099",2111,"Vika","Vika","statement",5,"female",5,"female"
"4100",2111,"Vika","Will","statement",5,"female",2,"male"
"4101",2111,"Will","Vika","statement",2,"male",5,"female"
"4102",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4103",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4104",2111,"Vika","Oleg","backchannel",5,"female",4,"male"
"4105",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4106",2111,"Vika","Will","statement",5,"female",2,"male"
"4107",2111,"Will","Vika","statement",2,"male",5,"female"
"4108",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4109",2111,"Ashley","Will","statement",1,"female",2,"male"
"4110",2111,"Will","Vika","statement",2,"male",5,"female"
"4111",2111,"Vika","Will","question",5,"female",2,"male"
"4112",2111,"Will","Saleh","question",2,"male",3,"male"
"4113",2111,"Saleh","Will","statement",3,"male",2,"male"
"4114",2111,"Will","Vika","floor-grabber",2,"male",5,"female"
"4115",2111,"Vika","Will","statement",5,"female",2,"male"
"4116",2111,"Will","Oleg","statement",2,"male",4,"male"
"4117",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4118",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4119",2111,"Vika","Vika","question",5,"female",5,"female"
"4120",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4121",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4122",2111,"Vika","Saleh","floor-grabber",5,"female",3,"male"
"4123",2111,"Saleh","Vika","disruption",3,"male",5,"female"
"4124",2111,"Vika","Will","statement",5,"female",2,"male"
"4125",2111,"Will","Vika","statement",2,"male",5,"female"
"4126",2111,"Vika","Will","question",5,"female",2,"male"
"4127",2111,"Will","Ashley","question",2,"male",1,"female"
"4128",2111,"Ashley","Will","statement",1,"female",2,"male"
"4129",2111,"Will","Oleg","statement",2,"male",4,"male"
"4130",2111,"Oleg","Will","statement",4,"male",2,"male"
"4131",2111,"Will","Ashley","statement",2,"male",1,"female"
"4132",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4133",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4134",2111,"Ashley","Will","statement",1,"female",2,"male"
"4135",2111,"Will","Ashley","statement",2,"male",1,"female"
"4136",2111,"Ashley","Oleg","question",1,"female",4,"male"
"4137",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4138",2111,"Vika","Will","statement",5,"female",2,"male"
"4139",2111,"Will","Vika","disruption",2,"male",5,"female"
"4140",2111,"Vika","Will","statement",5,"female",2,"male"
"4141",2111,"Will","Vika","question",2,"male",5,"female"
"4142",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4143",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4144",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4145",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4146",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4147",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4148",2111,"Vika","Oleg","question",5,"female",4,"male"
"4149",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4150",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4151",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4152",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4153",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4154",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4155",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4156",2111,"Oleg","Vika","statement",4,"male",5,"female"
"4157",2111,"Vika","Vika","statement",5,"female",5,"female"
"4158",2111,"Vika","Oleg","statement",5,"female",4,"male"
"4159",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4160",2111,"Ashley","Will","statement",1,"female",2,"male"
"4161",2111,"Will","Vika","statement",2,"male",5,"female"
"4162",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4163",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4164",2111,"Vika","Oleg","question",5,"female",4,"male"
"4165",2111,"Oleg","Ashley","statement",4,"male",1,"female"
"4166",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4167",2111,"Vika","Oleg","statement",5,"female",4,"male"
