"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"4031",2105,"Ashley","Oleg","disruption",1,"female",4,"male"
"4032",2105,"Oleg","Saleh","question",4,"male",3,"male"
"4033",2105,"Saleh","Saleh","question",3,"male",3,"male"
"4034",2105,"Saleh","Ashley","question",3,"male",1,"female"
"4035",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4036",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4037",2105,"Ashley","Vika","floor-grabber",1,"female",5,"female"
"4038",2105,"Vika","Oleg","question",5,"female",4,"male"
"4039",2105,"Oleg","Oleg","statement",4,"male",4,"male"
"4040",2105,"Oleg","Saleh","statement",4,"male",3,"male"
"4041",2105,"Saleh","Will","statement",3,"male",2,"male"
"4042",2105,"Will","Saleh","statement",2,"male",3,"male"
"4043",2105,"Saleh","Will","backchannel",3,"male",2,"male"
"4044",2105,"Will","Saleh","statement",2,"male",3,"male"
"4045",2105,"Saleh","Will","statement",3,"male",2,"male"
"4046",2105,"Will","Saleh","backchannel",2,"male",3,"male"
"4047",2105,"Saleh","Will","statement",3,"male",2,"male"
"4048",2105,"Will","Saleh","statement",2,"male",3,"male"
"4049",2105,"Saleh","Will","statement",3,"male",2,"male"
"4050",2105,"Will","Saleh","statement",2,"male",3,"male"
"4051",2105,"Saleh","Will","statement",3,"male",2,"male"
"4052",2105,"Will","Oleg","backchannel",2,"male",4,"male"
"4053",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4054",2105,"Ashley","Will","question",1,"female",2,"male"
"4055",2105,"Will","Vika","question",2,"male",5,"female"
"4056",2105,"Vika","Oleg","statement",5,"female",4,"male"
"4057",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4058",2105,"Ashley","Will","question",1,"female",2,"male"
"4059",2105,"Will","Ashley","statement",2,"male",1,"female"
"4060",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4061",2105,"Vika","Oleg","statement",5,"female",4,"male"
"4062",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4063",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4064",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4065",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4066",2105,"Vika","Ashley","statement",5,"female",1,"female"
"4067",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4068",2105,"Oleg","Will","statement",4,"male",2,"male"
"4069",2105,"Will","Will","statement",2,"male",2,"male"
"4070",2105,"Will","Ashley","statement",2,"male",1,"female"
"4071",2105,"Ashley","Will","statement",1,"female",2,"male"
"4072",2105,"Will","Ashley","statement",2,"male",1,"female"
"4073",2105,"Ashley","Saleh","statement",1,"female",3,"male"
"4074",2105,"Saleh","Vika","statement",3,"male",5,"female"
"4075",2105,"Vika","Oleg","question",5,"female",4,"male"
"4076",2105,"Oleg","Will","statement",4,"male",2,"male"
"4077",2105,"Will","Vika","statement",2,"male",5,"female"
"4078",2105,"Vika","Ashley","question",5,"female",1,"female"
"4079",2105,"Ashley","Will","statement",1,"female",2,"male"
"4080",2105,"Will","Vika","statement",2,"male",5,"female"
"4081",2105,"Vika","Ashley","question",5,"female",1,"female"
"4082",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4083",2105,"Vika","Ashley","floor-grabber",5,"female",1,"female"
"4084",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4085",2105,"Vika","Ashley","statement",5,"female",1,"female"
"4086",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4087",2105,"Vika","Oleg","question",5,"female",4,"male"
"4088",2105,"Oleg","Vika","statement",4,"male",5,"female"
"4089",2105,"Vika","Oleg","question",5,"female",4,"male"
"4090",2105,"Oleg","Will","statement",4,"male",2,"male"
"4091",2105,"Will","Vika","statement",2,"male",5,"female"
"4092",2105,"Vika","Saleh","question",5,"female",3,"male"
"4093",2105,"Saleh","Ashley","statement",3,"male",1,"female"
"4094",2105,"Ashley","Will","statement",1,"female",2,"male"
"4095",2105,"Will","Ashley","statement",2,"male",1,"female"
"4096",2105,"Ashley","Will","question",1,"female",2,"male"
"4097",2105,"Will","Ashley","statement",2,"male",1,"female"
"4098",2105,"Ashley","Will","question",1,"female",2,"male"
"4099",2105,"Will","Saleh","question",2,"male",3,"male"
"4100",2105,"Saleh","Ashley","question",3,"male",1,"female"
"4101",2105,"Ashley","Will","statement",1,"female",2,"male"
"4102",2105,"Will","Ashley","statement",2,"male",1,"female"
"4103",2105,"Ashley","Will","statement",1,"female",2,"male"
"4104",2105,"Will","Oleg","disruption",2,"male",4,"male"
"4105",2105,"Oleg","Will","question",4,"male",2,"male"
"4106",2105,"Will","Saleh","statement",2,"male",3,"male"
"4107",2105,"Saleh","Ashley","question",3,"male",1,"female"
"4108",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4109",2105,"Oleg","Will","statement",4,"male",2,"male"
"4110",2105,"Will","Oleg","statement",2,"male",4,"male"
"4111",2105,"Oleg","Oleg","statement",4,"male",4,"male"
"4112",2105,"Oleg","Vika","statement",4,"male",5,"female"
"4113",2105,"Vika","Oleg","question",5,"female",4,"male"
"4114",2105,"Oleg","Ashley","question",4,"male",1,"female"
"4115",2105,"Ashley","Oleg","statement",1,"female",4,"male"
